,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price
23,360.0,27.6,1579.75,838.1,257.2,190.55,1140.3,507.6,345.6,1405.25,253.2,82.5,670.4,409.5,303.2,549.45,914.2,517.85,2700.5,28772.0,220.95,197.65,376.6,19.75,409.05,1735.35,56.6,729.9,606.85,534.3
24,363.15,27.55,1559.65,839.55,255.65,193.3,1145.4,510.45,343.95,1410.3,250.6,82.35,673.8,411.3,307.1,536.75,920.2,514.95,2682.6,28746.9,221.95,190.5,378.35,19.45,409.65,1726.7,57.05,739.95,595.6,540.65
25,373.8,27.2,1544.55,837.1,256.7,194.8,1154.15,520.15,346.8,1399.85,249.9,81.4,667.15,411.0,302.9,539.75,932.2,515.9,2657.45,28445.2,226.2,190.1,380.65,19.3,405.05,1755.8,57.05,731.7,594.5,545.0
26,375.65,27.35,1535.3,835.25,261.75,199.2,1149.45,511.85,341.4,1409.6,249.0,85.2,664.75,412.35,292.65,547.85,922.95,519.75,2676.05,27917.4,225.25,198.4,375.2,20.0,401.45,1750.5,57.95,735.35,569.1,549.35
27,369.95,27.2,1534.1,841.95,260.3,198.25,1155.4,507.75,342.35,1416.65,251.3,87.45,654.4,414.0,298.9,541.0,912.9,519.6,2687.05,27533.2,225.25,194.9,368.25,21.35,400.95,1754.2,57.4,743.4,571.55,565.65
28,369.45,27.3,1522.65,849.75,257.3,191.55,1162.55,508.0,340.0,1401.8,248.8,86.15,641.8,415.4,301.1,540.15,903.0,521.0,2635.6,27680.85,219.05,197.9,360.1,20.8,393.85,1736.4,57.7,731.0,564.55,568.45
29,365.45,26.8,1513.05,839.95,247.05,184.15,1153.65,504.65,328.4,1400.75,245.4,83.25,630.75,412.0,301.05,541.15,907.9,532.0,2643.7,27166.7,216.4,172.5,354.15,21.35,386.2,1722.7,56.2,712.3,549.7,558.55
30,367.7,27.1,1517.35,839.3,243.25,182.75,1134.15,492.85,324.6,1349.95,241.55,80.7,612.05,409.65,290.9,534.65,910.1,526.65,2653.1,26661.05,212.75,165.25,359.7,19.25,387.1,1701.7,54.95,699.8,535.4,552.3
31,364.5,28.25,1548.25,839.4,244.3,183.65,1109.15,492.0,325.05,1372.35,236.35,81.7,616.7,406.35,300.85,536.85,912.65,531.1,2651.75,27224.85,216.8,167.0,356.05,19.3,387.05,1703.25,55.6,714.3,529.85,569.35
32,364.5,29.1,1547.1,837.4,242.9,186.65,1104.55,512.1,331.8,1376.3,238.9,82.0,626.05,403.55,302.05,543.75,907.6,528.7,2651.5,27340.05,218.0,169.0,362.35,19.0,393.3,1703.65,55.15,721.8,538.85,569.4
