,Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,Day_Perc_Change,Trend,Log_Ret,Volatility,a,b,Rolling Mean,Bollinger High,Bollinger Low,Call
17,2017-06-08,18,INFY,EQ,961.3,962.95,962.95,948.15,956.05,956.45,952.81,3097676,2951501576.75,88147,1778850,57.43,2017,6,-0.005045251222303039,Slight or No change,-0.005058021473107803,0.03621732688426154,965.810616128057,969.0866272378516,971.975,1000.741480226392,943.2085197736084,Hold Buy/Liquidate Short
18,2017-06-09,19,INFY,EQ,956.45,938.55,950.95,923.0,949.0,948.6,937.55,7378831,6918028230.35,161124,3054942,41.4,2017,6,-0.008207433739348624,Slight or No change,-0.008241300155181238,0.032896677479567926,965.810616128057,969.0866272378516,971.0571428571428,1002.0073723118128,940.1069134024733,Hold Buy/Liquidate Short
19,2017-06-12,20,INFY,EQ,948.6,943.35,965.2,940.1,964.4,963.85,953.95,4295838,4097996731.1,89686,2215716,51.58,2017,6,0.016076323002319315,Slight or No change,0.01594846740011914,0.03840690447474855,965.810616128057,969.0866272378516,971.5250000000003,1001.7693828223973,941.2806171776033,Hold Buy/Liquidate Short
20,2017-06-13,21,INFY,EQ,963.85,953.5,962.95,951.6,957.95,957.8,958.26,2468897,2365833763.7,69355,1449584,58.71,2017,6,-0.006276910307620565,Slight or No change,-0.006296692935091465,0.03876108650228774,966.9238095238094,969.0866272378516,971.7392857142861,1001.5120450389136,941.9665263896584,Hold Buy/Liquidate Short
21,2017-06-14,22,INFY,EQ,957.8,960.0,961.9,951.2,958.5,958.6,957.02,3719055,3559194776.55,90312,2710765,72.89,2017,6,0.0008352474420547651,Slight or No change,0.0008348988170219742,0.037200599297408016,967.0952380952381,969.0866272378516,969.9750000000003,999.7240465264148,940.2259534735858,Hold Buy/Liquidate Short
22,2017-06-15,23,INFY,EQ,958.6,959.65,967.95,949.6,951.35,952.1,956.12,2764031,2642752622.05,67490,1852460,67.02,2017,6,-0.006780721886083918,Slight or No change,-0.006803815433885256,0.027891235922081568,967.0619047619044,969.0866272378516,966.8607142857144,994.0253173444867,939.6961112269423,Hold Buy/Liquidate Short
23,2017-06-16,24,INFY,EQ,952.1,949.1,953.85,936.0,937.0,940.25,942.47,5474225,5159269025.25,109487,4241070,77.47,2017,6,-0.012446171620628109,Slight or No change,-0.01252427394119995,0.024661861471707888,966.0380952380949,969.0866272378516,963.6535714285716,992.0889628188178,935.2181800383256,Hold Buy/Liquidate Short
24,2017-06-19,25,INFY,EQ,940.25,939.95,940.25,928.0,930.8,929.85,931.98,3427930,3194759665.4,82075,2297829,67.03,2017,6,-0.011060888061685705,Slight or No change,-0.011122514534407659,0.0259191336315519,964.6999999999997,969.0866272378516,958.914285714286,986.0709091752797,931.7576622532922,Buy
25,2017-06-20,26,INFY,EQ,929.85,935.0,946.9,934.05,944.25,943.55,943.01,2592198,2444471885.25,105790,1509148,58.22,2017,6,0.01473355917621122,Slight or No change,0.01462607475906659,0.03114448188085415,963.8476190476188,969.0866272378516,956.5214285714287,982.6796075919632,930.3632495508944,Hold Buy/Liquidate Short
26,2017-06-21,27,INFY,EQ,943.55,945.0,949.0,936.05,948.55,943.35,941.04,1867932,1757791620.6,59945,1286468,68.87,2017,6,-0.00021196544963164587,Slight or No change,-0.00021198791748255948,0.024515393519293768,963.1833333333328,969.0866272378516,954.5178571428577,980.05653390946,928.9791803762547,Hold Buy/Liquidate Short
27,2017-06-22,28,INFY,EQ,943.35,947.7,968.7,935.1,939.0,940.15,953.78,4732621,4513895877.95,115123,2848768,60.19,2017,6,-0.0033921662161446875,Slight or No change,-0.0033979326561385946,0.0242402710286652,962.4857142857139,969.0866272378516,952.4250000000003,977.4902916630517,927.3597083369484,Hold Buy/Liquidate Short
28,2017-06-23,29,INFY,EQ,940.15,945.0,949.15,938.0,943.05,943.25,943.77,3201509,3021488880.3,118944,2359021,73.68,2017,6,0.0032973461681646827,Slight or No change,0.0032919218429363077,0.024771907403706345,960.5785714285713,969.0866272378516,951.3178571428572,976.5484127068146,926.0873015789,Hold Buy/Liquidate Short
29,2017-06-27,30,INFY,EQ,943.25,945.0,948.0,923.75,926.0,927.05,929.06,3452330,3207420226.5,113272,2392340,69.3,2017,6,-0.0171746620726213,Slight or No change,-0.017323857300557542,0.028891584272142244,957.3095238095236,969.0866272378516,947.5821428571428,970.2953246327907,924.8689610814951,Hold Buy/Liquidate Short
30,2017-06-28,31,INFY,EQ,927.05,932.8,933.0,921.0,924.0,924.7,925.73,2952612,2733310088.65,98295,2094305,70.93,2017,6,-0.0025349226039587114,Slight or No change,-0.002538140960269327,0.02704386555611147,954.430952380952,969.0866272378516,944.9678571428574,969.2506021132414,920.6851121724734,Hold Buy/Liquidate Short
31,2017-06-29,32,INFY,EQ,924.7,930.2,947.95,926.6,929.0,930.2,935.13,7957020,7440838109.9,103952,5660732,71.14,2017,6,0.005947874986482082,Slight or No change,0.00593025620640368,0.02596917777231128,951.2880952380948,969.0866272378516,943.0928571428574,967.6090953140357,918.5766189716792,Hold Buy/Liquidate Short
32,2017-06-30,33,INFY,EQ,930.2,930.8,938.0,929.0,934.4,935.55,934.42,2108350,1970090052.2,64325,1526984,72.43,2017,6,0.005751451300795464,Slight or No change,0.005734974850244609,0.02123991787915628,949.3119047619044,969.0866272378516,942.1607142857144,966.7671605509148,917.5542680205141,Hold Buy/Liquidate Short
33,2017-07-03,34,INFY,EQ,935.55,941.1,955.0,934.6,953.6,951.9,945.66,2544462,2406192366.05,62128,1419172,55.77,2017,7,0.017476350809684238,Slight or No change,0.017325395617018357,0.02828064426576158,948.383333333333,956.6441176470587,941.3071428571428,963.3701943631844,919.2440913511014,Hold Buy/Liquidate Short
34,2017-07-04,35,INFY,EQ,951.9,953.85,970.0,949.4,961.0,962.15,962.03,2583863,2485762341.4,54690,1493619,57.81,2017,7,0.01076793780859342,Slight or No change,0.010710376409308529,0.029061143634117995,948.035714285714,956.8544117647058,941.6178571428572,964.7767599713546,918.4589543143601,Hold Buy/Liquidate Short
35,2017-07-05,36,INFY,EQ,962.15,959.0,959.0,945.4,952.0,950.9,950.46,2113114,2008422006.7,58308,1201934,56.88,2017,7,-0.011692563529595136,Slight or No change,-0.011761459121169422,0.03273519929791098,947.6619047619045,956.7985294117647,941.0678571428572,962.8119494313513,919.3237648543628,Hold Buy/Liquidate Short
36,2017-07-06,37,INFY,EQ,950.9,945.0,957.0,944.2,946.8,947.0,950.12,1914860,1819345350.9,56849,1143132,59.7,2017,7,-0.004101377642233617,Slight or No change,-0.004109811359320258,0.026009280817335324,946.1214285714284,956.3647058823527,940.7035714285713,961.8131195520634,919.5940233050793,Hold Buy/Liquidate Short
37,2017-07-07,38,INFY,EQ,947.0,943.85,945.45,933.05,935.1,935.4,938.78,2888443,2711621745.5,98641,2118035,73.33,2017,7,-0.01224920802534324,Slight or No change,-0.012324847894292458,0.029994676324593718,944.8880952380953,955.7014705882353,940.3571428571428,961.6570835267194,919.0572021875664,Hold Buy/Liquidate Short
38,2017-07-10,39,INFY,EQ,935.4,945.0,1028.9,937.3,953.3,957.05,953.49,847546,808125207.5,17862,426402,50.31,2017,7,0.023145178533247712,Slight or No change,0.0228813914003328,0.036831670897415486,944.9166666666664,955.5720588235292,942.3,964.4177965239967,920.1822034760032,Hold Buy/Liquidate Short
39,2017-07-11,40,INFY,EQ,957.05,956.65,989.5,956.65,978.6,975.35,978.98,5769854,5648578195.35,113632,3220051,55.81,2017,7,0.019121258032495758,Slight or No change,0.018940744248822982,0.03977961215805535,946.190476190476,956.1029411764704,944.5714285714287,972.901345193688,916.241511949169,Hold Buy/Liquidate Short
40,2017-07-12,41,INFY,EQ,975.35,974.95,981.5,968.75,973.0,972.35,974.41,3137988,3057672503.55,77201,2147850,68.45,2017,7,-0.003075818936791875,Slight or No change,-0.003080558990050318,0.03817425618729559,946.5952380952381,956.6191176470587,946.6428571428572,978.5970757675096,914.6886385182047,Hold Buy/Liquidate Short
41,2017-07-13,42,INFY,EQ,972.35,977.25,983.45,964.1,980.0,977.05,977.0,2585196,2525724825.0,74502,1139208,44.07,2017,7,0.004833650434514336,Slight or No change,0.004822005855061217,0.037235895787594515,947.5119047619046,956.4352941176469,949.2785714285714,984.8125792842258,913.7445635729171,Hold Buy/Liquidate Short
42,2017-07-14,43,INFY,EQ,977.05,999.45,1006.85,966.05,970.0,972.05,985.55,11239090,11076697425.95,246571,4902877,43.62,2017,7,-0.005117445371270679,Slight or No change,-0.005130584339303678,0.03485025220959682,948.1523809523807,955.7397058823527,951.3357142857143,988.6560001402428,914.0154284311856,Hold Buy/Liquidate Short
43,2017-07-17,44,INFY,EQ,972.05,975.0,992.0,974.0,985.55,984.05,984.54,3849125,3789602386.0,85783,2209178,57.39,2017,7,0.012345043979219206,Slight or No change,0.01226946530279755,0.034722400593171235,949.6738095238094,955.7073529411763,955.4071428571428,993.7375657439477,917.0767199703376,Hold Buy/Liquidate Short
44,2017-07-18,45,INFY,EQ,984.05,986.05,1004.8,981.1,983.65,985.6,995.69,4130090,4112296075.35,93509,2299835,55.68,2017,7,0.001575123215283858,Slight or No change,0.0015738840098090743,0.028658687268616794,951.8333333333333,955.395588235294,959.7571428571428,996.8795362055259,922.6347495087596,Hold Buy/Liquidate Short
45,2017-07-19,46,INFY,EQ,985.6,981.45,988.65,969.1,979.6,979.85,976.12,2945139,2874801639.95,105595,1545101,52.46,2017,7,-0.005834009740259716,Slight or No change,-0.00585109405419215,0.02476948999433597,954.2142857142856,955.4779411764704,963.3035714285713,997.6446314965629,928.9625113605797,Hold Buy/Liquidate Short
46,2017-07-20,47,INFY,EQ,979.85,979.3,979.85,966.95,969.0,969.45,970.69,3404870,3305085666.3,101526,2486394,73.02,2017,7,-0.010613869469816795,Slight or No change,-0.010670598348048987,0.020348767617688838,955.4476190476187,955.4205882352941,965.725,996.1991189056698,935.2508810943301,Hold Buy/Liquidate Short
47,2017-07-21,48,INFY,EQ,969.45,973.0,982.55,971.4,979.9,980.1,978.45,2990377,2925921839.85,68179,1923535,64.32,2017,7,0.010985610397648228,Slight or No change,0.01092570689812009,0.02319264489031157,957.1976190476187,955.7338235294117,967.7392857142858,998.0042229944357,937.4743484341355,Hold Buy/Liquidate Short
48,2017-07-24,49,INFY,EQ,980.1,983.5,994.0,982.6,990.5,990.55,989.58,3064588,3032646958.4,110820,2177458,71.05,2017,7,0.010662177328844,Slight or No change,0.010605737145201466,0.02492227568437853,959.5976190476188,956.6691176470586,969.7678571428572,1002.1519369718968,937.3837773138174,Hold Buy/Liquidate Short
