,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Rolling Mean,Bollinger High,Bollinger Low,Call,open_close_perc,high_low_perc,close_roll_mean,close_roll_std,Action,daily_return,cumulative_return
0,JETAIRWAYS,EQ,15-May-2017,519.45,520.0,533.4,517.1,527.8,527.5,526.08,1837033,966429811.4,25433,430754,23.45,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,-1.4423076923076923,3.055868016497929,,,1,,
1,JETAIRWAYS,EQ,16-May-2017,527.5,527.0,536.5,524.65,534.0,534.15,531.79,1382182,735036275.45,23991,284837,20.61,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,-1.3567362428842462,2.208760484622558,,,-1,0.012606635071090055,1.01260663507109
2,JETAIRWAYS,EQ,17-May-2017,534.15,532.0,534.75,526.2,530.0,528.9,529.75,690466,365774206.0,10219,53551,7.76,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,0.5827067669172975,1.5988779803646478,,,-1,-0.009828699803426044,1.002654028436019
3,JETAIRWAYS,EQ,18-May-2017,528.9,525.15,538.6,517.5,517.7,522.7,529.55,1701102,900810165.8,25651,309608,18.2,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,0.4665333714176772,3.917564054957301,,,-1,-0.011722442805823241,0.9909004739336494
4,JETAIRWAYS,EQ,19-May-2017,522.7,525.6,532.9,517.45,521.0,520.4,524.69,1272799,667824672.75,20409,257037,20.19,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,0.9893455098934637,2.8992306248827044,,,-1,-0.004400229577195436,0.9865402843601896
5,JETAIRWAYS,EQ,22-May-2017,520.4,521.7,525.15,469.0,479.5,475.65,491.44,3217513,1581202627.25,46980,659957,20.51,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,8.826912018401393,10.692183185756447,-0.019867256416153167,0.0381880697709434,-1,-0.08599154496541117,0.9017061611374408
6,JETAIRWAYS,EQ,23-May-2017,475.65,485.0,489.0,465.3,471.9,472.85,477.05,2924779,1395251624.6,38240,255332,8.73,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,2.5051546391752533,4.846625766871163,-0.02356591970704518,0.03502076880419259,-1,-0.005886681383370007,0.896398104265403
7,JETAIRWAYS,EQ,24-May-2017,472.85,473.3,479.9,458.0,466.0,464.8,468.39,2343019,1097440973.45,37266,402723,17.19,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,1.7959011197971688,4.563450718899766,-0.025005065016530215,0.034458457666756176,1,-0.01702442635085122,0.881137440758294
8,JETAIRWAYS,EQ,25-May-2017,464.8,468.1,473.3,459.9,469.7,468.95,467.5,1917412,896385540.8,25019,435427,22.71,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,-0.181585131382176,2.831185294739073,-0.020874862169651287,0.037547676262655184,1,0.008928571428571397,0.889004739336493
9,JETAIRWAYS,EQ,26-May-2017,468.95,477.7,491.75,475.1,483.75,483.4,484.19,2668448,1292044525.35,29370,350943,13.15,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,-1.1932175005233385,3.3858668022369045,-0.013832112341215064,0.044134979416728205,-1,0.03081351956498568,0.916398104265403
10,JETAIRWAYS,EQ,29-May-2017,483.4,481.7,485.35,470.0,476.3,474.6,477.85,949984,453951592.6,12123,111663,11.75,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,1.4739464396927477,3.16266611723499,-0.0002746804685300086,0.020522541840428545,-1,-0.018204385601985895,0.8997156398104268
11,JETAIRWAYS,EQ,30-May-2017,474.6,471.0,475.05,454.5,458.0,459.65,463.0,1804222,835362146.05,23946,259546,14.39,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,2.409766454352446,4.325860435743608,-0.005397386332606136,0.024985133088107986,1,-0.03150021070375064,0.8713744075829385
12,JETAIRWAYS,EQ,31-May-2017,459.65,439.0,482.0,438.25,478.65,477.9,466.81,8231445,3842523967.95,95239,490441,5.96,454.24172111672124,498.98240234197283,409.5010398914703,Hold Buy/Liquidate Short,-8.861047835990883,9.076763485477178,0.005948323477975271,0.030628254536498156,1,0.03970412270205581,0.9059715639810427
13,JETAIRWAYS,EQ,01-Jun-2017,477.9,481.0,487.5,467.55,485.0,484.5,477.04,2948808,1406713262.5,41770,433395,14.7,492.5678571428571,547.2740880795311,437.8616262061831,Hold Buy/Liquidate Short,-0.7276507276507277,4.09230769230769,0.006924693310277341,0.030824195474967758,1,0.013810420590081751,0.918483412322275
14,JETAIRWAYS,EQ,02-Jun-2017,484.5,485.0,489.75,478.8,483.8,484.85,484.38,1484965,719287679.35,19135,127407,8.58,489.5214285714286,540.4690293194327,438.5738278234245,Hold Buy/Liquidate Short,0.030927835051541706,2.235834609494638,0.0009064682414494651,0.0277813851166022,1,0.0007223942208463008,0.9191469194312799
15,JETAIRWAYS,EQ,05-Jun-2017,484.85,482.0,500.5,479.0,499.85,497.15,490.69,2013452,987985368.7,25179,259591,12.89,486.87857142857143,531.2704922854418,442.48665057170103,Hold Buy/Liquidate Short,-3.1431535269709494,4.295704295704296,0.009621079506427432,0.027113989950337397,1,0.02536867072290394,0.9424644549763035
16,JETAIRWAYS,EQ,06-Jun-2017,497.15,502.5,508.0,493.2,497.7,497.2,500.25,2998048,1499783791.95,37769,239330,7.98,484.61428571428576,522.5354271400522,446.69314428851936,Hold Buy/Liquidate Short,1.0547263681592063,2.913385826771656,0.015941236300702676,0.016886617668143686,1,0.00010057326762558105,0.9425592417061615
17,JETAIRWAYS,EQ,07-Jun-2017,497.2,500.8,515.4,496.0,514.55,509.1,504.11,1886376,950943309.55,24059,376830,19.98,483.6428571428572,517.8789572339973,449.4067570517172,Hold Buy/Liquidate Short,-1.6573482428115036,3.7640667442762856,0.012787217874531276,0.012146010188987665,1,0.023934030571198806,0.9651184834123226
18,JETAIRWAYS,EQ,08-Jun-2017,509.1,524.0,527.0,516.0,520.0,519.8,521.62,3777232,1970264565.7,46564,326511,8.64,483.6000000000001,517.6388239876402,449.5611760123599,Hold Buy/Liquidate Short,0.8015267175572607,2.0872865275142316,0.01422863012265121,0.012712240249948199,1,0.021017481830681417,0.985402843601896
19,JETAIRWAYS,EQ,09-Jun-2017,519.8,520.9,530.5,514.55,528.7,527.95,523.3,2236841,1170539767.7,30138,285844,12.78,487.3357142857144,528.3757590557349,446.29566951569393,Hold Buy/Liquidate Short,-1.3534267613745572,3.0065975494816297,0.017219972748278068,0.010263394067254843,1,0.015679107348980592,1.0008530805687208
